Date,Description,Amount,Category
11/18/2013,Ryan-Phillips,-3777.46,Communications-Other Telecom
12/23/2019,"Freeman, Harrison and Mills",-576.04,Restaurant-Restaurant
09/22/2003,"Kelley, Greene and Dennis",4737.78,Business Services-Internet Services
12/05/2014,Hansen-Rose,1722.73,Merchandise & Supplies-Clothing Stores
06/16/2000,Reynolds Ltd,4643.54,Transportation-Fuel
05/30/1984,Hawkins-Clark,-3416.99,Merchandise & Supplies-Computer Supplies
03/17/1994,Preston-Martin,4098.9,Merchandise & Supplies-Furnishing
01/30/1995,"Chen, King and Brown",-2461.24,Merchandise & Supplies-Electronics Stores
11/17/2009,"Goodwin, Wilson and Wong",4034.62,Merchandise & Supplies-Clothing Stores
08/06/2023,Woods LLC,1309.41,Merchandise & Supplies-Wholesale Stores
11/30/2023,Taylor Inc,4883.53,Merchandise & Supplies-Electronics Stores
11/11/2023,"Norton, Harper and Harmon",2909.78,Merchandise & Supplies-Mail Order
06/10/1989,Hutchinson Ltd,-3062.82,Other-Miscellaneous
07/20/1988,"Herrera, Bennett and White",4371.49,Restaurant-Restaurant
04/15/1986,"Wilson, Cruz and Buck",4366.07,Business Services-Office Supplies
07/30/1986,"Barnett, Peterson and Simmons",2274.13,Business Services-Other Services
10/04/1970,Peters Ltd,4836.12,Merchandise & Supplies-Book Stores
10/01/1980,Torres Group,-4189.32,Entertainment-General Attractions
10/23/2018,"White, Romero and Brady",4003.8,Merchandise & Supplies-General Retail
07/22/2010,"Fuller, Downs and Cortez",-4555.23,Merchandise & Supplies-Hardware Supplies
02/04/1981,White-Clark,-4619.36,Merchandise & Supplies-Wholesale Stores
11/06/1980,Terrell Inc,1217.77,Merchandise & Supplies-Computer Supplies
09/18/1995,"Gomez, Figueroa and Walters",-4920.62,Transportation-Auto Services
09/15/2002,"Jones, Acevedo and Bridges",-3994.58,Other-Miscellaneous
08/07/2020,"Sanchez, Webster and Page",-1938.86,Entertainment-General Attractions
09/15/2017,Flores Inc,-4677.35,Merchandise & Supplies-General Retail
04/06/2000,"Clark, Jarvis and Nguyen",477.54,Transportation-Auto Services
06/27/1974,Cabrera Inc,-1852.57,Merchandise & Supplies-Clothing Stores
03/25/2015,Johnson-Brown,3174.1,Merchandise & Supplies-Hardware Supplies
05/27/2024,"Wong, Wade and Gibson",3155.91,Communications-Other Telecom
10/02/2022,"Smith, Owen and Vargas",-1401.93,Fees & Adjustments-Fees & Adjustments
04/14/2011,Davis and Sons,2574.62,Merchandise & Supplies-Wholesale Stores
03/09/1978,Sharp LLC,-3189.13,Merchandise & Supplies-Clothing Stores
11/24/2007,"Gill, Jacobs and Nichols",-890.91,Merchandise & Supplies-Internet Purchase
01/31/2005,Ramirez-Allison,357.69,Merchandise & Supplies-Pharmacies
12/04/1984,Payne-Frazier,-4242.85,Transportation-Parking Charges
07/09/1991,"Taylor, Gillespie and Fisher",-3831.05,Merchandise & Supplies-Groceries
09/30/1970,Perry-Wilson,-4674.76,Communications-Cable & Internet Comm
04/04/1985,Murray-Aguilar,-3785.59,Merchandise & Supplies-Wholesale Stores
10/02/1978,"Hampton, Evans and Brooks",2776.96,Business Services-Internet Services
07/21/1978,Kane-Dunn,3371.7,Restaurant-Restaurant
05/19/2022,Smith-Dyer,3735.46,Other-Miscellaneous
02/06/1972,Morrow-Neal,2346.61,Merchandise & Supplies-Furnishing
05/27/1971,Klein and Sons,3634.88,Fees & Adjustments-Fees & Adjustments
05/06/2002,"Hernandez, Pacheco and Garcia",-2120.68,Merchandise & Supplies-Furnishing
05/31/2004,Bowers-Dorsey,-1937.47,Merchandise & Supplies-Furnishing
06/12/2008,Hogan and Sons,-2331.29,Business Services-Mailing & Shipping
09/01/1997,Mccarthy Inc,4220.0,Merchandise & Supplies-Pharmacies
10/04/2019,Hall and Sons,-2951.22,Entertainment-Associations
03/22/1999,"Bender, Jefferson and Garcia",-327.83,Business Services-Internet Services
05/18/2020,"Richards, Horn and Jones",-397.79,Business Services-Internet Services
10/15/2018,Kim Ltd,2492.65,Communications-Other Telecom
12/07/2001,Gibbs-Turner,-2948.14,Transportation-Fuel
04/14/1992,"Martinez, Peters and Kirby",-3027.24,Business Services-Other Services
09/15/2021,Rios PLC,-3481.2,Merchandise & Supplies-Clothing Stores
07/27/1978,Anderson-Thomas,3903.33,Entertainment-Associations
03/23/1970,"Wright, Blake and Braun",-3587.79,Merchandise & Supplies-Mail Order
11/24/2006,King-Wilson,107.73,Merchandise & Supplies-Internet Purchase
03/01/1972,"Adams, Miller and Cooley",-77.65,Restaurant-Restaurant
09/10/1987,Johnston Group,-500.46,Restaurant-Bar & Café
11/26/2023,"Riddle, Oconnor and Bailey",-1932.78,Merchandise & Supplies-Pharmacies
06/11/1980,"Green, Leon and Miller",-3255.3,Transportation-Fuel
03/06/1997,Jones and Sons,-2244.17,Transportation-Auto Services
10/04/2021,"Vargas, White and Brown",-851.72,Merchandise & Supplies-Groceries
07/30/1973,Henderson Ltd,-2390.13,Restaurant-Restaurant
04/13/1987,Miller-Rivera,554.28,Business Services-Internet Services
11/23/2016,Bowman PLC,4384.03,Merchandise & Supplies-Furnishing
06/13/2008,"Vasquez, Gomez and Johnson",1923.41,Merchandise & Supplies-Computer Supplies
02/21/1977,"Williams, Barber and Mata",-340.26,Merchandise & Supplies-Wholesale Stores
10/29/2018,"Todd, Lawrence and Morrow",3000.52,Communications-Other Telecom
03/02/1987,Gay and Sons,1280.07,Merchandise & Supplies-Hardware Supplies
01/17/2003,"Allison, Crawford and Robles",-1565.8,Merchandise & Supplies-Groceries
02/20/2002,Jones LLC,-1019.18,Entertainment-Associations
07/26/1989,Zamora-Rivera,-860.24,Business Services-Professional Services
03/22/1981,James LLC,-340.96,Business Services-Office Supplies
03/27/2006,Gray and Sons,-3552.68,Transportation-Fuel
11/17/1973,Gonzalez Inc,-1979.74,Merchandise & Supplies-Clothing Stores
06/29/1973,Bell Inc,-3408.81,Business Services-Office Supplies
07/31/1976,Moore-Schaefer,-2251.11,Merchandise & Supplies-Wholesale Stores
12/15/2015,Hardy-Spears,254.52,Business Services-Internet Services
10/14/1984,"Dennis, Williams and Jackson",-3755.73,Merchandise & Supplies-Book Stores
09/26/2004,"Escobar, Young and Young",-536.29,Business Services-Internet Services
02/06/1990,Harrison PLC,4222.34,Business Services-Office Supplies
11/23/1981,Ho PLC,1021.16,Transportation-Fuel
12/23/2017,Torres LLC,2825.54,Transportation-Auto Services
11/08/1979,Herrera-Bowen,3462.75,Transportation-Fuel
12/11/2024,Lewis-Miller,2240.28,Fees & Adjustments-Fees & Adjustments
05/18/1991,Reed LLC,3559.66,Merchandise & Supplies-Pharmacies
03/28/2000,"Woods, Potter and Lopez",1403.38,Merchandise & Supplies-Department Stores
07/02/1985,Kim-Pugh,-2072.08,Business Services-Office Supplies
11/29/1998,Freeman and Sons,3368.35,Merchandise & Supplies-Book Stores
09/12/1978,"Sanchez, Walls and Richardson",2261.97,Business Services-Mailing & Shipping
10/22/1981,Brooks Inc,4291.89,Transportation-Auto Services
10/04/2001,Poole Ltd,-2703.03,Merchandise & Supplies-Electronics Stores
05/12/2020,Marshall LLC,2767.87,Fees & Adjustments-Fees & Adjustments
06/01/2011,Vaughn LLC,3506.96,Restaurant-Bar & Café
08/29/1974,"Cisneros, Frazier and Becker",-2226.38,Business Services-Mailing & Shipping
08/30/1975,Carr LLC,270.65,Merchandise & Supplies-Clothing Stores
08/15/2004,"Silva, Adams and Adams",4094.56,Transportation-Auto Services
08/19/1999,Gilbert-Collins,-3117.37,Merchandise & Supplies-Computer Supplies
05/14/1993,"Marks, Walker and Gonzales",1636.72,Merchandise & Supplies-Internet Purchase
05/02/2009,"Evans, Rodriguez and Steele",1958.3,Business Services-Mailing & Shipping
11/24/2022,"Cochran, Mueller and Jackson",4172.77,Other-Miscellaneous
05/30/2003,"Young, Anderson and Rosales",2659.37,Other-Miscellaneous
09/06/2008,Reynolds-Graham,-2951.45,Business Services-Professional Services
07/22/1992,Harrison Ltd,4888.8,Merchandise & Supplies-Internet Purchase
06/07/2005,Rhodes Group,8.21,Restaurant-Bar & Café
01/10/2003,"Moore, Smith and Walton",-3244.33,Merchandise & Supplies-Mail Order
01/30/2019,Tapia-Rodriguez,-4727.22,Merchandise & Supplies-General Retail
03/13/1984,Collins PLC,1377.15,Merchandise & Supplies-Mail Order
05/10/2000,"Rush, Brown and Mays",-902.92,Business Services-Other Services
01/24/2006,"Krause, Morton and Leblanc",4526.79,Merchandise & Supplies-Furnishing
12/18/1992,"Skinner, Stewart and Collins",4870.08,Communications-Other Telecom
06/06/2023,"Simpson, Figueroa and Boone",-2187.79,Restaurant-Bar & Café
12/18/2008,"Miller, Foster and Juarez",-2117.74,Fees & Adjustments-Fees & Adjustments
07/12/2003,"Rowe, Dickerson and Guzman",-2928.97,Merchandise & Supplies-Pharmacies
08/23/2006,Rivera Group,-988.65,Entertainment-Associations
06/14/1972,Petersen LLC,-4106.87,Merchandise & Supplies-Mail Order
01/18/2015,"Patterson, Meyer and Jordan",-1179.49,Merchandise & Supplies-Wholesale Stores
02/06/1984,Jones Group,1342.71,Entertainment-General Attractions
04/29/1978,Martin-Crane,2194.88,Other-Charities
09/11/2016,"Brown, Koch and Hayes",-1307.6,Merchandise & Supplies-Wholesale Stores
08/11/1995,Palmer-Thomas,-241.51,Transportation-Parking Charges
05/11/2010,Jenkins-Knapp,-3172.13,Merchandise & Supplies-Internet Purchase
07/19/2010,Lindsey Ltd,1980.87,Merchandise & Supplies-Computer Supplies
01/30/1982,Roberts-Wilson,1510.03,Business Services-Professional Services
11/16/1975,Wilson Inc,-3312.8,Restaurant-Bar & Café
09/25/2002,Schaefer Ltd,-4548.63,Communications-Other Telecom
01/01/1990,"Price, Dillon and Maldonado",359.27,Business Services-Internet Services
05/29/1993,Mckay LLC,84.45,Merchandise & Supplies-Mail Order
04/14/1998,Archer Ltd,-1323.29,Transportation-Auto Services
07/27/2012,"Dunn, Wilson and Martin",4063.28,Merchandise & Supplies-Internet Purchase
07/08/1995,"Shaw, Powell and Davis",2336.75,Merchandise & Supplies-Department Stores
06/22/2005,Riley Group,-3571.63,Merchandise & Supplies-General Retail
02/06/1973,Jenkins-Crawford,-2582.11,Business Services-Other Services
04/15/1992,Conway Ltd,4627.78,Communications-Other Telecom
01/15/2007,"Turner, Bullock and Morris",-3519.92,Merchandise & Supplies-Computer Supplies
11/28/2001,Walton-Richardson,-85.65,Transportation-Parking Charges
03/07/2004,"Ford, Davis and Chen",2898.41,Business Services-Internet Services
05/03/2019,"Juarez, Brooks and Munoz",-4505.02,Transportation-Fuel
11/20/2021,Branch and Sons,2658.89,Merchandise & Supplies-Clothing Stores
09/26/2024,Warren Ltd,2369.88,Transportation-Parking Charges
11/14/2002,Martinez-Hines,4358.68,Merchandise & Supplies-Electronics Stores
03/19/2019,"Wells, Gallagher and Delgado",-4429.22,Merchandise & Supplies-Computer Supplies
12/30/2013,"Gonzalez, Decker and Jones",-3618.24,Restaurant-Bar & Café
08/15/1988,"Parker, Reynolds and Melendez",-787.66,Merchandise & Supplies-Electronics Stores
11/25/2024,Hill-Strong,1743.78,Restaurant-Restaurant
02/05/1984,Wright Inc,-687.8,Entertainment-General Attractions
04/27/1974,Richardson-Stevens,4714.65,Other-Miscellaneous
04/01/1983,Myers Ltd,-419.44,Restaurant-Bar & Café
11/14/2006,"Thompson, Rose and Bentley",689.65,Fees & Adjustments-Fees & Adjustments
04/10/1976,Fernandez and Sons,3554.43,Merchandise & Supplies-Computer Supplies
04/10/1985,Anderson-King,-3944.93,Entertainment-General Attractions
11/28/1994,"Ortiz, Arnold and Smith",-1936.25,Merchandise & Supplies-Clothing Stores
06/16/1974,Rose-Edwards,3598.75,Restaurant-Restaurant
08/21/2009,"Nelson, Wood and Alexander",-4606.02,Merchandise & Supplies-Computer Supplies
02/18/2019,Garcia-Sheppard,637.39,Merchandise & Supplies-Pharmacies
05/06/2013,"White, Martin and Hall",-4296.19,Transportation-Parking Charges
09/26/2007,Palmer Group,-2935.01,Merchandise & Supplies-Book Stores
05/08/1974,Johnson-Jones,-2549.69,Business Services-Professional Services
02/09/2007,Zhang LLC,1036.84,Restaurant-Restaurant
12/07/2024,"Stevens, Padilla and Jones",-1630.08,Business Services-Office Supplies
06/18/2007,Armstrong Ltd,-2221.07,Merchandise & Supplies-Electronics Stores
10/29/2014,Hudson Ltd,-906.95,Merchandise & Supplies-General Retail
09/22/2018,Sanchez-Cole,-4651.6,Restaurant-Restaurant
05/11/1991,Murphy PLC,2294.13,Transportation-Auto Services
12/17/2022,Johnson-Austin,4520.39,Entertainment-Associations
09/15/2014,Holland-Smith,3705.75,Merchandise & Supplies-Groceries
07/26/1989,Velez-Fowler,883.81,Restaurant-Restaurant
07/22/2010,Lopez-Brown,2803.43,Business Services-Professional Services
03/11/1988,"Cohen, Garrett and Walker",-2721.25,Merchandise & Supplies-Pharmacies
12/01/2019,"Mitchell, Martinez and Rivera",-2744.91,Transportation-Fuel
10/23/2016,Christian Group,7.25,Merchandise & Supplies-General Retail
09/20/1998,"Peters, Fischer and Stevenson",3389.23,Merchandise & Supplies-Groceries
09/23/2010,"Turner, Duncan and Ayala",-2727.48,Business Services-Mailing & Shipping
01/08/2001,"Holt, James and Travis",1215.86,Transportation-Fuel
05/04/2008,"Long, Simmons and Romero",488.01,Merchandise & Supplies-General Retail
12/03/1996,"Nguyen, Rhodes and Elliott",-406.13,Business Services-Mailing & Shipping
06/11/2018,Brewer-Richmond,-3133.74,Transportation-Parking Charges
12/25/1991,Williams-Rivera,908.88,Merchandise & Supplies-Hardware Supplies
08/21/1974,Bennett Group,1640.71,Merchandise & Supplies-Department Stores
02/01/2005,"Pope, Brown and Ramirez",4550.04,Merchandise & Supplies-Department Stores
11/09/1971,"Lee, Rose and Bush",3204.06,Merchandise & Supplies-Mail Order
05/27/2012,Smith-Patterson,-3726.14,Merchandise & Supplies-Clothing Stores
12/15/1997,Jacobs-Harris,-2378.33,Business Services-Professional Services
07/29/1981,Perry PLC,2929.64,Merchandise & Supplies-Internet Purchase
11/21/1983,Walls-Smith,-142.4,Merchandise & Supplies-Department Stores
10/16/1995,Bishop PLC,1894.28,Fees & Adjustments-Fees & Adjustments
07/15/2021,Collins-Gray,-1131.1,Merchandise & Supplies-Computer Supplies
04/02/2014,Moore-Gross,-2365.55,Restaurant-Bar & Café
09/11/1989,Alvarado Group,-4983.16,Entertainment-Associations
03/31/2001,Scott Inc,3572.09,Restaurant-Restaurant
06/21/2015,"Stewart, Buck and Silva",-3954.84,Restaurant-Bar & Café
04/28/1990,Young Ltd,2991.11,Restaurant-Restaurant
02/02/2015,Porter-Cox,53.57,Other-Charities
07/27/2005,Watkins-Montoya,-254.42,Transportation-Auto Services
07/06/1984,Holmes-Copeland,-3539.12,Business Services-Professional Services
12/04/2007,Johnson Inc,3706.4,Other-Miscellaneous
06/04/2014,Stewart Ltd,-1248.7,Other-Charities
02/11/1995,Taylor LLC,-383.3,Transportation-Fuel
07/24/1978,Boyer-Todd,-1093.94,Merchandise & Supplies-Mail Order
11/09/2018,Miller PLC,-1169.71,Merchandise & Supplies-Internet Purchase
01/04/2016,"Stewart, West and Mccarty",410.53,Other-Charities
04/20/2010,Dunn PLC,-195.33,Other-Miscellaneous
04/16/1991,"Douglas, Kelley and Schroeder",4086.34,Merchandise & Supplies-Groceries
07/16/2019,Gibbs-Santana,-2733.0,Transportation-Auto Services
12/21/1980,"Bryan, Ayala and Anderson",-2303.74,Merchandise & Supplies-Furnishing
12/30/1992,Martinez Inc,-2379.06,Transportation-Auto Services
07/13/1978,Miller-Fuller,-1360.4,Business Services-Other Services
09/13/1982,"Mckee, Clark and King",2818.06,Merchandise & Supplies-Clothing Stores
04/14/1974,Garza-Smith,814.18,Business Services-Mailing & Shipping
12/12/2021,"Miller, Jenkins and Moore",1307.4,Merchandise & Supplies-Pharmacies
06/09/2013,"Walker, Smith and Hogan",3870.24,Business Services-Other Services
07/20/1997,Baldwin-Fernandez,2349.54,Restaurant-Restaurant
03/16/1980,Becker-Cole,1288.79,Restaurant-Restaurant
04/07/2022,Lara PLC,1354.91,Other-Miscellaneous
11/21/2013,Kirby Inc,3806.05,Business Services-Other Services
04/19/1981,Guerra Ltd,2533.69,Communications-Other Telecom
08/08/2001,"Barton, Cabrera and Lee",-2339.72,Merchandise & Supplies-Mail Order
10/11/1991,Smith-Garrett,-1672.05,Business Services-Office Supplies
05/11/2021,"Gutierrez, Williams and Coleman",2067.1,Merchandise & Supplies-Hardware Supplies
02/04/2022,"Ellis, Alvarado and Snow",-1881.92,Fees & Adjustments-Fees & Adjustments
01/25/1989,Lynch-Garrett,-2951.52,Merchandise & Supplies-Hardware Supplies
04/22/2011,Spencer Ltd,-3325.19,Merchandise & Supplies-Department Stores
05/21/1986,"Hunt, Chandler and English",-2111.94,Merchandise & Supplies-General Retail
02/19/1991,Fuentes LLC,2422.6,Business Services-Other Services
12/01/1989,"Wood, Lee and Melton",4952.85,Business Services-Professional Services
01/04/1975,Wheeler-Carroll,2249.77,Merchandise & Supplies-Computer Supplies
10/26/1988,Henson-Russell,2193.34,Entertainment-Associations
07/18/2008,Green Inc,-4148.95,Business Services-Office Supplies
08/27/2000,Gonzales Inc,-4058.96,Entertainment-Associations
12/12/2017,Jacobs PLC,-1666.66,Business Services-Mailing & Shipping
02/24/1985,Dawson PLC,-1210.26,Merchandise & Supplies-Hardware Supplies
10/11/2022,"Cannon, Munoz and Young",-2094.58,Business Services-Professional Services
11/10/2023,Lewis-Cruz,513.72,Merchandise & Supplies-Internet Purchase
10/24/1993,Aguilar-Fernandez,4063.1,Merchandise & Supplies-Electronics Stores
05/13/1995,Morrison Group,-4935.24,Transportation-Fuel
08/30/2009,Powell-Rivera,643.75,Merchandise & Supplies-Mail Order
11/16/2009,"Ortega, Hurley and Pitts",2184.97,Merchandise & Supplies-Pharmacies
02/20/1988,Contreras-Shaw,3003.94,Communications-Other Telecom
11/17/2012,Lopez-Long,248.65,Merchandise & Supplies-Internet Purchase
05/14/1982,Young Group,-2813.68,Business Services-Office Supplies
12/13/1997,Thomas and Sons,-3366.07,Other-Miscellaneous
03/17/1988,"Nichols, West and Jackson",-1408.88,Restaurant-Bar & Café
12/21/1972,"Mendez, Hill and Gonzalez",-1825.68,Communications-Cable & Internet Comm
04/04/2018,"Howell, Maldonado and Smith",-2545.99,Entertainment-General Attractions
05/25/2006,Harris Ltd,2919.76,Merchandise & Supplies-Department Stores
06/10/1974,"Patel, Pitts and Dunn",4398.89,Merchandise & Supplies-Pharmacies
10/13/2010,"Garcia, Rodriguez and Duran",-397.54,Communications-Other Telecom
04/29/2021,Clark-Johnson,-2055.33,Merchandise & Supplies-Wholesale Stores
02/01/2001,Hart-Long,4478.02,Merchandise & Supplies-Book Stores
12/02/1987,"Lane, Carey and Martinez",-3044.38,Merchandise & Supplies-Computer Supplies
10/16/1998,Gallegos Group,-1932.79,Merchandise & Supplies-Pharmacies
02/15/2017,Gonzalez and Sons,-1788.06,Communications-Cable & Internet Comm
12/20/1997,Shaw Ltd,-4565.66,Other-Charities
01/26/2017,Andrews PLC,-2235.61,Entertainment-General Attractions
10/29/1981,Roberts-Santiago,-2906.65,Communications-Other Telecom
02/04/1988,Jenkins and Sons,-1678.53,Merchandise & Supplies-General Retail
02/04/2017,Mcpherson-Green,4232.32,Merchandise & Supplies-Wholesale Stores
12/01/1989,Riley-Hill,-344.81,Merchandise & Supplies-Pharmacies
08/05/1975,Fox LLC,595.7,Communications-Other Telecom
01/19/1997,Brown-Stephens,2051.46,Merchandise & Supplies-Internet Purchase
09/17/1976,"Nguyen, Smith and Meyers",-78.85,Restaurant-Restaurant
10/13/1972,Brooks-Simon,-816.87,Other-Charities
12/12/1978,Huang-Novak,-4306.08,Transportation-Parking Charges
05/16/1978,Buck LLC,-2034.86,Merchandise & Supplies-Groceries
06/28/1981,"Davis, Mcdonald and Reeves",4404.08,Merchandise & Supplies-Groceries
09/08/1974,Davis-Richards,-3237.46,Entertainment-Associations
12/31/1996,Moore-Scott,1626.63,Merchandise & Supplies-Pharmacies
10/12/2024,Robinson Ltd,4070.27,Merchandise & Supplies-General Retail
10/11/1987,Morton Inc,-2099.59,Transportation-Parking Charges
08/11/1979,Walker Inc,-725.8,Merchandise & Supplies-Hardware Supplies
12/31/2001,Singh Ltd,-4418.21,Entertainment-General Attractions
04/11/2002,"Hall, Stark and Spencer",2931.89,Restaurant-Restaurant
11/03/1974,Gill and Sons,1810.5,Other-Miscellaneous
11/13/1972,Casey-Thompson,2074.12,Entertainment-General Attractions
06/22/2014,Holmes-Harris,-4062.08,Fees & Adjustments-Fees & Adjustments
06/21/2003,Cox LLC,-3849.71,Other-Charities
12/27/1997,Robinson-Bolton,4944.1,Merchandise & Supplies-Computer Supplies
11/01/2022,Kennedy-Lewis,509.59,Restaurant-Restaurant
10/27/1999,Hawkins Inc,-982.24,Communications-Cable & Internet Comm
07/11/1988,Hunter-Rose,-539.28,Other-Charities
09/19/2014,"Reed, Rogers and Cooper",-1018.38,Other-Miscellaneous
03/16/1995,"Perkins, Savage and Tyler",4814.52,Merchandise & Supplies-Department Stores
10/05/1978,"Terrell, Yates and Gonzalez",3589.36,Business Services-Internet Services
11/12/2005,Lee-Williams,-3215.33,Transportation-Fuel
01/23/1997,"Miller, Fernandez and Dunn",-2027.48,Business Services-Professional Services
10/04/1987,"Andrade, Mcdonald and Kelley",375.93,Entertainment-General Attractions
09/01/1972,Wood-Martinez,4767.43,Merchandise & Supplies-Furnishing
12/31/2018,"Allen, Smith and Jones",3414.98,Restaurant-Restaurant
04/24/1975,Jones-Miller,-1872.58,Merchandise & Supplies-Groceries
03/07/2008,Blake and Sons,640.89,Entertainment-Associations
06/27/1970,Cochran Group,-3602.34,Merchandise & Supplies-Internet Purchase
06/17/1993,Hester-Kaiser,-4391.17,Merchandise & Supplies-Hardware Supplies
08/13/2009,Young Inc,2401.89,Communications-Cable & Internet Comm
11/01/1991,"Ramsey, Garcia and Walker",2431.52,Business Services-Office Supplies
05/15/2004,Evans-Brewer,-3051.08,Merchandise & Supplies-Department Stores
06/14/2022,Baird-West,-3372.41,Merchandise & Supplies-Book Stores
01/21/2022,Hartman LLC,2101.15,Business Services-Professional Services
01/20/2024,Griffin-Donovan,3469.74,Merchandise & Supplies-Hardware Supplies
10/24/1982,"Holmes, Morton and Lee",2148.08,Merchandise & Supplies-Electronics Stores
11/14/1984,"Morgan, Calderon and Andersen",-227.19,Fees & Adjustments-Fees & Adjustments
10/28/1974,"Fuller, Raymond and Doyle",-4858.34,Other-Miscellaneous
05/29/1986,Butler-Williams,-3243.4,Merchandise & Supplies-Internet Purchase
02/09/2004,Mckee Group,-918.29,Entertainment-Associations
03/31/1982,"Williams, Walker and Jimenez",-1275.12,Merchandise & Supplies-Hardware Supplies
12/14/1979,"Reed, Lewis and Green",-3205.16,Merchandise & Supplies-Computer Supplies
07/01/2024,Coleman-Manning,4399.32,Merchandise & Supplies-Internet Purchase
10/25/1985,"Phillips, Hicks and Barrett",4137.89,Merchandise & Supplies-Mail Order
10/08/2017,Evans-Tucker,-1779.58,Merchandise & Supplies-Book Stores
06/05/1996,Davidson-Bruce,-949.78,Merchandise & Supplies-Electronics Stores
05/05/1973,"Ortiz, Barnes and Long",-3726.35,Merchandise & Supplies-Internet Purchase
05/14/2018,"Ruiz, Thomas and Jones",-1723.3,Restaurant-Bar & Café
11/05/2004,Skinner Inc,1260.11,Restaurant-Bar & Café
12/31/1979,Bailey-Gray,4247.8,Merchandise & Supplies-Furnishing
03/05/1983,Howard and Sons,-3984.9,Business Services-Mailing & Shipping
01/11/1983,"Wheeler, Lopez and Buchanan",-2438.82,Communications-Other Telecom
08/08/2017,Sandoval PLC,1207.74,Business Services-Other Services
09/17/1992,Patton Group,3408.95,Merchandise & Supplies-Electronics Stores
10/20/2004,Acevedo Group,-715.62,Communications-Other Telecom
06/07/1997,Blanchard Ltd,-2290.5,Merchandise & Supplies-Book Stores
04/17/1994,Walters-Wilson,-1956.05,Merchandise & Supplies-Department Stores
11/07/1982,"Harris, Collins and Mills",-3642.17,Merchandise & Supplies-Furnishing
09/22/2024,Smith Inc,2938.76,Business Services-Mailing & Shipping
07/06/2020,"Taylor, Harrison and Kelly",-4242.32,Merchandise & Supplies-General Retail
06/21/2009,"Byrd, Owens and Armstrong",-3813.36,Merchandise & Supplies-Computer Supplies
09/03/2006,"Guzman, Ponce and Stewart",1941.28,Communications-Cable & Internet Comm
10/23/1978,Mathis Ltd,-3207.24,Merchandise & Supplies-Clothing Stores
02/03/2011,"Austin, Pittman and Jennings",3436.7,Merchandise & Supplies-Computer Supplies
04/03/1974,Phillips-Turner,836.05,Merchandise & Supplies-Furnishing
09/25/2010,Bennett LLC,1093.35,Other-Charities
02/19/1994,Smith-Rodriguez,4468.77,Other-Charities
05/02/1984,Vaughan-Whitaker,2946.04,Merchandise & Supplies-Department Stores
07/10/2013,Martin and Sons,307.44,Communications-Other Telecom
01/05/2003,"Floyd, Johnson and Davis",-3497.81,Entertainment-General Attractions
11/13/1981,"Peterson, Collins and Robinson",-3047.04,Restaurant-Restaurant
10/18/1976,Jacobs-Collins,-3243.17,Merchandise & Supplies-Computer Supplies
03/25/1999,Davis PLC,4986.88,Merchandise & Supplies-Computer Supplies
03/31/1989,Zuniga and Sons,3413.43,Transportation-Auto Services
05/01/2016,Willis-Morse,2387.06,Merchandise & Supplies-Furnishing
11/14/1982,"Butler, Smith and Russell",-614.79,Merchandise & Supplies-Wholesale Stores
01/16/2024,Johnson-Wiggins,3549.07,Business Services-Professional Services
01/19/2011,Duncan-Black,663.32,Merchandise & Supplies-Internet Purchase
04/23/2014,"Gutierrez, Cook and Bailey",256.3,Merchandise & Supplies-Clothing Stores
02/01/1985,Castillo and Sons,1820.77,Business Services-Professional Services
08/17/1984,Nguyen-Mathis,1641.32,Merchandise & Supplies-Internet Purchase
08/01/2020,"Watkins, Francis and Rice",2347.66,Entertainment-General Attractions
06/23/2009,Oliver Inc,-4396.53,Merchandise & Supplies-Hardware Supplies
05/08/2018,Stone-Lee,1317.43,Merchandise & Supplies-Electronics Stores
05/18/1998,Monroe and Sons,36.27,Fees & Adjustments-Fees & Adjustments
02/06/2010,Waller Ltd,3254.86,Entertainment-General Attractions
10/14/1982,"Byrd, Smith and Griffith",4403.1,Merchandise & Supplies-Electronics Stores
01/01/2011,Jacobs Group,3312.65,Business Services-Office Supplies
09/30/1984,Johnson Inc,-2555.43,Merchandise & Supplies-Wholesale Stores
08/18/2014,"Robinson, Rios and Adams",4601.17,Business Services-Mailing & Shipping
02/04/2005,Carpenter-George,-745.84,Restaurant-Bar & Café
06/30/1981,Rowe Group,-3307.26,Merchandise & Supplies-Furnishing
12/23/1972,"Garcia, Fuentes and Thomas",2875.11,Merchandise & Supplies-Groceries
03/18/1999,Brennan-Bailey,3578.03,Business Services-Internet Services
08/14/1981,Buck PLC,-312.37,Merchandise & Supplies-General Retail
07/13/2023,Montoya Ltd,-363.3,Business Services-Professional Services
03/03/1993,Bell-Jordan,1708.54,Transportation-Auto Services
05/01/1999,Baker-Ross,4151.91,Transportation-Fuel
10/09/2012,"Hines, Shelton and Scott",-614.64,Entertainment-General Attractions
12/09/2009,"Weaver, Walton and Moses",-831.15,Merchandise & Supplies-Book Stores
06/08/2003,"Schmidt, Ramsey and Paul",825.84,Transportation-Auto Services
07/08/1975,Lee and Sons,-4253.45,Transportation-Auto Services
08/11/1989,Morgan-Smith,238.74,Merchandise & Supplies-Furnishing
09/06/2016,Davidson-Andrade,376.36,Business Services-Other Services
09/29/1995,Mejia Group,3351.2,Merchandise & Supplies-Computer Supplies
